id,coverage_original,Necessity_Flip_Rate,Necessity_Control_Flip_Rate,Sufficiency_Stay_Rate,Sufficiency_Control_Stay_Rate,Necessity_Faithfulness,Sufficiency_Faithfulness,Bucket
1,0.2000,0.7500,0.5000,0.2500,0.5000,0.2500,-0.2500,Local
2,0.6154,1.0000,0.2500,0.7500,0.5000,0.7500,0.2500,Mixed
6,0.7500,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Mixed
7,0.5714,0.7500,0.0000,1.0000,0.0000,0.7500,1.0000,Mixed
8,0.9167,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,Global
10,0.7333,0.5000,0.0000,1.0000,0.5000,0.5000,0.5000,Mixed
11,0.6000,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Mixed
12,0.7692,0.2500,0.2500,0.5000,1.0000,0.0000,-0.5000,Mixed
13,0.2000,1.0000,0.5000,0.0000,0.0000,0.5000,0.0000,Local
14,0.1739,0.0000,0.0000,1.0000,0.7500,0.0000,0.2500,Local
15,0.2857,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Local
16,0.7333,0.0000,0.5000,0.5000,0.5000,-0.5000,0.0000,Mixed
17,0.0833,0.2500,0.0000,1.0000,0.0000,0.2500,1.0000,Local
18,1.0000,0.7500,0.0000,1.0000,1.0000,0.7500,0.0000,Global
19,0.3333,1.0000,0.0000,0.7500,0.0000,1.0000,0.7500,Local
20,0.7273,0.2500,0.2500,0.5000,0.7500,0.0000,-0.2500,Mixed
21,0.5517,1.0000,0.2500,0.5000,0.0000,0.7500,0.5000,Mixed
22,0.7143,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
23,1.0000,0.5000,0.0000,1.0000,1.0000,0.5000,0.0000,Global
24,0.4667,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
25,1.0000,0.0000,0.0000,0.7500,1.0000,0.0000,-0.2500,Global
26,0.6923,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
27,0.5556,0.7500,0.5000,0.2500,0.2500,0.2500,0.0000,Mixed
28,0.3750,0.2500,0.0000,1.0000,0.7500,0.2500,0.2500,Local
29,0.8095,0.7500,0.2500,0.7500,0.5000,0.5000,0.2500,Global
30,0.5000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
31,0.8571,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
32,0.4615,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
33,0.6471,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
34,0.0909,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Local
35,0.5000,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,Mixed
36,0.0750,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
37,0.1111,0.0000,0.0000,0.7500,0.7500,0.0000,0.0000,Local
38,0.8182,0.0000,0.2500,0.7500,0.7500,-0.2500,0.0000,Global
39,0.5333,1.0000,0.5000,0.5000,0.2500,0.5000,0.2500,Mixed
41,0.2500,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
42,0.8462,0.7500,0.2500,0.5000,0.2500,0.5000,0.2500,Global
44,1.0000,0.5000,0.0000,0.7500,0.7500,0.5000,0.0000,Global
45,0.3158,0.7500,0.2500,1.0000,0.2500,0.5000,0.7500,Local
46,0.7500,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
48,0.6111,0.5000,0.5000,0.7500,0.5000,0.0000,0.2500,Mixed
50,0.8000,0.7500,0.2500,0.7500,0.5000,0.5000,0.2500,Mixed
51,1.0000,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Global
52,0.5000,1.0000,0.2500,0.7500,0.2500,0.7500,0.5000,Mixed
53,0.4000,1.0000,0.5000,0.2500,0.0000,0.5000,0.2500,Local
54,0.8750,0.2500,0.2500,0.7500,0.2500,0.0000,0.5000,Global
55,0.6250,0.7500,0.0000,1.0000,0.2500,0.7500,0.7500,Mixed
56,0.4615,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
58,0.1333,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Local
59,0.3077,0.0000,0.5000,0.7500,0.7500,-0.5000,0.0000,Local
63,0.2667,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
64,0.1667,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
65,0.3636,0.7500,0.0000,1.0000,0.0000,0.7500,1.0000,Local
66,0.7778,0.7500,0.0000,1.0000,0.7500,0.7500,0.2500,Mixed
67,0.4444,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
68,0.8333,0.2500,0.0000,1.0000,0.5000,0.2500,0.5000,Global
69,0.2800,1.0000,0.0000,0.7500,0.0000,1.0000,0.7500,Local
70,0.8889,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
71,0.6250,0.5000,0.0000,1.0000,0.7500,0.5000,0.2500,Mixed
74,0.4286,0.2500,0.5000,0.7500,1.0000,-0.2500,-0.2500,Mixed
75,0.2632,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
77,0.3333,1.0000,0.2500,0.7500,0.0000,0.7500,0.7500,Local
78,0.1111,0.7500,0.5000,0.5000,0.5000,0.2500,0.0000,Local
79,0.2222,0.7500,0.2500,1.0000,0.2500,0.5000,0.7500,Local
80,0.3333,0.0000,0.0000,1.0000,0.7500,0.0000,0.2500,Local
81,0.4444,0.7500,0.5000,0.5000,0.2500,0.2500,0.2500,Mixed
82,0.7000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
83,1.0000,0.5000,0.7500,0.5000,0.5000,-0.2500,0.0000,Global
84,1.0000,1.0000,0.0000,1.0000,0.7500,1.0000,0.2500,Global
85,0.5000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
86,0.4167,0.7500,0.0000,1.0000,0.2500,0.7500,0.7500,Mixed
87,0.0588,0.5000,0.0000,0.2500,0.0000,0.5000,0.2500,Local
88,0.5882,0.2500,0.2500,0.5000,0.5000,0.0000,0.0000,Mixed
89,1.0000,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Global
90,0.8125,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
91,0.2143,0.7500,0.5000,0.7500,0.2500,0.2500,0.5000,Local
92,0.6250,1.0000,0.0000,0.7500,0.2500,1.0000,0.5000,Mixed
93,0.5000,0.5000,0.0000,1.0000,0.5000,0.5000,0.5000,Mixed
95,0.0833,1.0000,0.2500,0.7500,0.0000,0.7500,0.7500,Local
97,0.4000,0.2500,0.0000,0.5000,1.0000,0.2500,-0.5000,Local
99,0.4000,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
101,0.6000,0.7500,0.2500,1.0000,0.5000,0.5000,0.5000,Mixed
102,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
103,0.5263,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Mixed
104,0.1818,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
106,0.8333,0.0000,0.2500,0.7500,1.0000,-0.2500,-0.2500,Global
107,0.3636,1.0000,0.7500,0.2500,0.0000,0.2500,0.2500,Local
108,0.1579,1.0000,0.0000,0.7500,0.0000,1.0000,0.7500,Local
109,0.1667,1.0000,0.2500,0.7500,0.2500,0.7500,0.5000,Local
110,0.1429,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
111,1.0000,0.5000,0.0000,1.0000,1.0000,0.5000,0.0000,Global
112,0.1000,0.0000,0.5000,1.0000,0.0000,-0.5000,1.0000,Local
114,0.8125,1.0000,0.2500,0.7500,0.2500,0.7500,0.5000,Global
117,0.2500,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
119,0.0500,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
120,0.4167,0.2500,0.0000,1.0000,0.7500,0.2500,0.2500,Mixed
122,0.3077,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
123,0.2941,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
124,0.4706,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
125,0.4118,1.0000,0.7500,0.5000,0.0000,0.2500,0.5000,Mixed
126,0.5833,0.7500,0.2500,0.2500,0.0000,0.5000,0.2500,Mixed
127,1.0000,0.5000,0.0000,1.0000,1.0000,0.5000,0.0000,Global
128,0.7500,0.5000,0.0000,1.0000,0.7500,0.5000,0.2500,Mixed
130,0.8333,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Global
131,0.4000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,Local
132,0.8000,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Mixed
133,0.7500,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,Mixed
134,1.0000,0.0000,0.0000,1.0000,0.7500,0.0000,0.2500,Global
135,0.3750,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
136,0.4118,0.7500,0.5000,0.5000,0.2500,0.2500,0.2500,Mixed
137,0.0909,0.0000,0.0000,1.0000,0.7500,0.0000,0.2500,Local
138,1.0000,1.0000,0.0000,1.0000,0.7500,1.0000,0.2500,Global
141,0.3158,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
142,0.5455,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
143,0.3571,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Local
144,0.4118,0.7500,0.0000,1.0000,0.7500,0.7500,0.2500,Mixed
146,1.0000,0.7500,0.0000,1.0000,1.0000,0.7500,0.0000,Global
148,0.2308,1.0000,0.2500,0.7500,0.0000,0.7500,0.7500,Local
150,1.0000,0.7500,0.0000,1.0000,1.0000,0.7500,0.0000,Global
151,0.3182,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
152,0.6000,1.0000,0.0000,1.0000,0.5000,1.0000,0.5000,Mixed
154,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,Mixed
156,0.1667,0.0000,0.2500,1.0000,1.0000,-0.2500,0.0000,Local
157,0.2000,0.7500,0.0000,0.7500,0.2500,0.7500,0.5000,Local
159,0.3571,1.0000,0.0000,1.0000,0.2500,1.0000,0.7500,Local
160,0.2353,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
161,0.4286,1.0000,0.7500,0.0000,0.5000,0.2500,-0.5000,Mixed
164,0.2857,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Local
165,0.3333,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
167,0.2273,1.0000,0.2500,1.0000,0.2500,0.7500,0.7500,Local
168,0.8333,0.5000,0.0000,1.0000,1.0000,0.5000,0.0000,Global
169,0.6667,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
170,0.4375,1.0000,0.0000,1.0000,0.2500,1.0000,0.7500,Mixed
171,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,Mixed
173,0.1304,1.0000,0.0000,1.0000,0.5000,1.0000,0.5000,Local
174,0.0769,0.7500,0.5000,0.5000,0.5000,0.2500,0.0000,Local
175,0.5263,1.0000,0.2500,0.7500,0.2500,0.7500,0.5000,Mixed
177,0.6111,1.0000,0.0000,0.7500,0.7500,1.0000,0.0000,Mixed
179,0.5789,0.2500,0.5000,0.7500,0.2500,-0.2500,0.5000,Mixed
180,0.3333,1.0000,0.0000,0.5000,0.0000,1.0000,0.5000,Local
181,0.5000,0.7500,0.7500,0.5000,1.0000,0.0000,-0.5000,Mixed
182,0.0769,0.7500,0.2500,0.2500,0.0000,0.5000,0.2500,Local
183,0.2000,1.0000,0.2500,1.0000,0.2500,0.7500,0.7500,Local
184,0.5000,1.0000,0.0000,1.0000,0.5000,1.0000,0.5000,Mixed
185,0.1500,1.0000,0.2500,0.2500,0.0000,0.7500,0.2500,Local
186,0.5000,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Mixed
187,0.0870,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
188,0.2000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
189,0.1500,1.0000,0.0000,1.0000,0.5000,1.0000,0.5000,Local
190,0.4615,0.7500,0.0000,1.0000,0.0000,0.7500,1.0000,Mixed
191,0.8750,0.5000,0.5000,0.5000,0.7500,0.0000,-0.2500,Global
193,0.4545,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
194,0.4706,0.7500,0.5000,0.2500,0.2500,0.2500,0.0000,Mixed
195,1.0000,0.5000,0.0000,1.0000,1.0000,0.5000,0.0000,Global
196,0.3750,0.7500,0.2500,0.5000,0.2500,0.5000,0.2500,Local
198,0.2857,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Local
199,0.3810,1.0000,0.2500,0.5000,0.5000,0.7500,0.0000,Local
200,0.4286,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Mixed
202,0.1250,0.5000,0.0000,1.0000,1.0000,0.5000,0.0000,Local
204,0.4000,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Local
205,0.5000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
206,0.9091,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
207,0.4444,0.0000,0.0000,1.0000,0.7500,0.0000,0.2500,Mixed
